x_Pt,photocat,methanol,pH,IrradiationTime,BETSurfaceArea,Hydrogen_micromol_
0,0.03,0,7,120,28,1.31
0,0.002,0,5,32,28,2.25
1,0.001,0,8,60,53.8,3.04
0,0.1,50,5.5,240,113,3.79
0,0.2,50,5,480,1,3.92
0,0.002,0,5,27.5,28,4.6
0,0.1,50,6.2,60,55,4.88
0,0.1,50,6.5,240,73,4.9
0,0.1,50,5.5,240,90,6.07
0,0.1,50,7,240,80,7.2
1,0.001,0,8,60,46,7.41
0,0.1,50,5.5,240,101,7.49
0,0.1,50,5.5,240,73,7.99
0.3,0.3,0.81,7,70,55,8.38
0,0.05,50,6.2,60,55,8.63
0,0.002,0,5,27.5,28,9.3
0,0.01,50,6.2,60,55,9.38
0.3,0.3,0.04,7,70,55,9.63
0.91,0.03,0,7,120,55,10
0,0.1,50,6.2,120,55,10.5
0,0.1,50,6.2,240,55,11.5
0,0.3,0,7,60,55,12.5
0.3,0.3,0.12,7,70,6.17,13.13
0,0.2,50,5,480,6.17,13.6
0,0.03,50,6.2,60,55,13.88
0.3,0.3,0.12,7,120,23.84,14.63
0,0.2,50,5,480,23.84,15.2
0.3,0.3,0.81,7,120,23.84,16.25
0.3,0.3,0.04,7,120,296,17.75
0,0.05,0,6.55,180,296,18.64
0,0.1,50,6.2,180,55,21.38
0,0.01,50,6.2,120,55,21.75
0,0.2,50,5,480,23.71,22
0,0.05,50,6.2,120,55,23
0,0.2,0,7,120,37.4,24
0,0.2,50,5,480,37.4,24
0,0.2,50,5,480,61.2,26.96
0,0.2,50,5,480,75.9,28
0,0.02,10,6.8,180,63,30
0,0.1,50,6.2,240,55,30.75
0,0.2,50,5,480,48.6,32
0,0.01,50,6.2,180,55,35.85
0,0.03,0,7,180,55,36
0,0.03,50,6.2,120,55,36
0,0.05,0,6.55,180,50,36.9
0,0.05,50,6.2,180,55,39
0,0.05,0,6.55,180,86,41
0,0.02,10,6.8,180,59,44.44
0,0.02,10,6.8,180,47,45
0,0.01,0,7,240,55,47.5
0,0.01,50,6.2,240,55,48.75
0,0.2,0,7,300,202,58.5
0,0.2,50,5,480,202,60
0,0.03,50,6.2,180,55,60
0,0.05,50,6.2,240,55,65.25
0,0.2,50,5,480,17.42,68
0,0.02,0,7,300,50,73.1
0.98,0.03,0,7,120,224.2,75
0,0.2,50,5,480,224.2,75.12
0,0.03,50,6.2,240,55,85.13
0,0.2,50,5,480,19.92,85.92
0.87,0.03,0,7,120,108,90.63
0.1,0.05,20,5.3,180,108,104
0,0.2,50,7,200,55,111.11
0,0.02,10,6.8,180,55,120
2,0.05,20,7.2,180,90,129.5
0.2,0.05,20,5.7,180,94,147
0.5,0.05,20,5.3,180,95,172.5
0,0.2,50,5,480,259,175.2
1,0.05,20,5.2,180,95,188.5
0,0.05,10,7,180,50,225
2.51,0.03,0,7,240,100,269
5,0.01,0,7,240,100,272
0,0.05,10,7,180,92,300
0,0.01,0,7,300,37,360
0,0.05,10,7,180,73,364
0,0.01,0,7,300,73,475
0,0.01,0,7,300,39,515
0,0.2,20,7,150,100,660
0,0.2,50,7,200,182,933.33
0,0.01,0,7,300,182,965
0,0.01,0,7,300,174,1020
0,0.01,0,7,300,149,1120
0,0.01,0,7,300,146,1355
0,0.01,0,7,300,137,1415
0,0.01,0,7,300,61,1420
0,0.01,0,7,300,125,1490
0.1,0.06,0,7,1440,69.8,1641.6
0,0.01,0,7,300,148,1915
0,0.01,0,7,300,152,1945
0,0.01,0,7,300,151,1965
0,0.01,0,7,300,140,1975
0,1,0,4,1200,50,2072
0,0.2,50,7,200,91,2088.89
1,0.05,10,7,180,91,2093
0,0.01,0,7,300,138,2315
0,0.2,50,7,200,138,2711.11
0,0.2,50,7,200,138,3111.11
0,0.2,50,7,200,52,3266.67
0,0.2,50,7,200,52,3355.55
0,0.2,50,7,200,52,3444.45
1,1,0,4,1200,52,4142
0.5,0.2,50,5,480,45.4,4220
1,1,0,4,1200,136,5682
1,1,0,4,1200,152,6001.8
2.1,0.2,50,5,480,247.6,6392
1,0.2,50,5,480,194.6,7824
5,1,0,4,1200,155,8102
0.5,0.2,50,5,480,17.69,9200
0.5,0.2,50,5,480,62.16,9600
0.1,0.2,150,6.2,300,103,9643
1,0.2,50,5,480,70.3,10200
0.5,0.2,50,5,480,218.5,10448
2.5,1,0,4,1200,100,11860.7
2.1,0.2,50,5,480,74.8,12040
0.5,0.2,50,5,480,266,12500
2.5,1,0,4,1200,150,13372
0.5,0.2,50,5,480,290,14700
1,0.2,50,5,480,18.54,14768
2.1,0.2,50,5,480,17.94,14768
2.1,0.2,50,5,480,280,17600
1,0.2,50,5,480,50.2,17700
1,0.2,50,5,480,278,18400
2.1,0.2,50,5,480,276.5,18800
1,0.2,50,5,480,250,19496
2.1,0.2,50,5,480,49.2,22384
1,0.04,30,5.18,60,49.02,404.001
1,0.04,30,5.18,120,49.02,788.705
1,0.04,30,5.18,180,49.02,1147.166
1,0.04,30,5.18,240,49.02,1486.102
1,0.04,30,5.18,300,49.02,1810.024
