x_Pt,x_Cu,x_CuO,x_La,x_NiTiO3,HydrothermalHeat_C_,RXN_Temp__C_,H2Reduction_C_,TempCalcine,glycerol_mL,glucose_mL_,ball_milledCellulose_g_,Ethanol,photocat,cat_Loading,bandgap,crystalSize,liquidSolution,methanol,pH,IrradiationTime,BETSurfaceArea,light_W_,UVWavelength_nm_,VolumeOfReactor,Hydrogen_micromol_
0,1.21,0,0,0,0,25,0,400,0,1.25,0,0,0.03,1,2.8,22.5,25,0,7,120,28,1000,380,0.05,0.85
0,0.97,0,0,0,0,25,0,0,0,1.25,0,0,0.03,1,2.8,23.1,25,0,7,120,28,1000,380,0.05,1.28
0,1.56,0,0,0,0,25,300,0,0,1.25,0,0,0.03,1,2.8,22.1,25,0,7,120,28,1000,380,0.05,1.31
0,0,0,0,2,0,25,0,650,0,0,0,10,0.002,0.02,2.95,29.9,100,0,5,32,28,0.18,420,0.1,1.8
0,0,0,0,5,0,25,0,650,0,0,0,10,0.002,0.02,2.81,27,100,0,5,32,28,0.18,441,0.1,2.25
0,0,0,0,0,0,24,0,800,15.87,0,0,0,0.05,0.5,3,105,100,0,6.55,180,7,180,413,0.1,2.5
0,0,0,0,0,0,25,0,0,0,0,0,0,0.1,1,3.1,21,100,50,6.2,60,55,1.3,400,0.35,2.5
1,0,0,0,0,0,25,0,0,0,0,0,0,0.001,0.05,3.2,21,20,0,8,60,53.8,500,387.5,0.02,3.04
0,0,0,1.04,0,0,25,0,450,0,0,0,0,0.1,1,2.95,7,100,50,5.5,240,109,8,420,0.2,3.79
0,0,0,1.64,0,0,25,0,450,0,0,0,0,0.1,1,2.95,6.6,100,50,5.5,240,113,8,420,0.2,3.79
0,0,0,0,0,0,25,0,900,0,0,0,0,0.2,1,2.98,96,200,50,5,480,1,120,416,0.2,3.92
0,0,0,0,0.5,0,25,0,650,0,0,0,10,0.002,0.02,3.13,33.1,100,0,5,27.5,28,0.18,396,0.1,4.6
0,0,0,0,0,0,25,0,0,0,0,0,0,0.1,1,3.1,21,100,50,6.2,60,55,1.4,400,0.35,4.88
0,0,0,0,0,0,25,0,450,0,0,0,0,0.1,1,2.97,9.6,100,50,6.5,240,73,8,418,0.2,4.9
