Row,%Pt,%Cu,%CuO,%La,%NiTiO_3,Hydrotherm T.,Rxn. T.,H_2 T.,Temp Cal,glycerol,glucose,cellulose,Ethanol,Photocat.,cat. loading,bandgap,crystallite size,liq. sol.,Meth,pH,Irra,BET,Light power,UV wavelength,Reactor volume,H_2
%Pt,1,-0.101825157,-0.057625987,-0.076700645,-0.061787924,-0.095416516,-0.004053464,-0.021009383,-0.025906329,-0.034097762,0.018143531,-0.090272386,0.167992651,0.411457867,0.44543297,-0.272286253,-0.167757078,0.319643263,-0.079316872,-0.311911824,0.407737096,0.242030392,-0.070045409,0.284889791,0.391346501,0.523615954
%Cu,-0.101825157,1,-0.02706961,-0.036029865,-0.029024665,-0.086269125,-0.145726128,0.096860907,0.037642925,-0.039937477,0.087787146,0.114482518,-0.09454907,0.003382645,0.061633724,-0.037265363,-0.03012048,0.020255368,0.088526084,0.198404752,-0.091166554,-0.020981424,0.190108605,-0.007809584,-0.049935381,-0.021997449
%CuO,-0.057625987,-0.02706961,1,-0.020390408,-0.01642595,-0.04882235,-0.019757904,-0.017857274,0.0649365,-0.022601846,-0.026388293,-0.023998374,-0.053508226,-0.075386613,-0.116960348,-0.155645687,-0.096465681,-0.054871569,-0.078051302,0.087026459,-0.062435647,-0.071713834,0.068987456,0.148304224,-0.040007944,-0.061226536
%La,-0.076700645,-0.036029865,-0.020390408,1,-0.02186307,-0.064982934,-0.026297926,-0.023768173,0.118322646,-0.030083236,-0.035123027,-0.031942026,-0.071219872,-0.039172008,0.08516757,-0.098194067,-0.172863914,-0.073034492,0.148521037,-0.10267838,-0.04606658,0.033343649,-0.130016205,0.088217519,-0.040372126,-0.083572258
%NiTiO_3,-0.061787924,-0.029024665,-0.01642595,-0.02186307,1,-0.052348459,-0.021184884,-0.019146985,0.198081596,-0.024234225,-0.028294142,-0.025731615,0.15661214,-0.091918243,-0.169061261,-0.121214758,0.04481263,-0.058834572,-0.134521638,-0.150417433,-0.140932793,-0.119211654,-0.1095234,0.113840079,-0.042897448,-0.067372301
Hydrotherm T.,-0.095416516,-0.086269125,-0.04882235,-0.064982934,-0.052348459,1,-0.062967182,-0.056909997,0.080121077,-0.072030646,-0.084097812,-0.076481293,0.333447637,-0.186343502,-0.253021613,0.213073063,0.032102805,-0.208577523,-0.242993704,0.190728261,0.033608532,0.271351211,-0.021088632,-0.149723922,-0.116213791,-0.017529225
Rxn. T.,-0.004053464,-0.145726128,-0.019757904,-0.026297926,-0.021184884,-0.062967182,1,-0.023030891,-0.231799845,-0.052738649,-0.034033521,-0.030951193,-0.069010651,0.138981015,-0.004445178,0.144326177,0.122681321,0.194598473,-0.238984028,0.153008292,-0.149809318,-0.046518701,0.242051623,-0.112643733,0.002271072,-0.099648228
H_2 T.,-0.021009383,0.096860907,-0.017857274,-0.023768173,-0.019146985,-0.056909997,-0.023030891,1,-0.020790882,-0.026345946,0.355133972,0.322970415,-0.06237211,-0.08422231,-0.040461536,-0.334664419,0.043019787,0.028154757,-0.146243579,0.130883603,-0.060983946,0.000794699,0.28909073,0.320745816,-0.015362369,-0.072061
Temp Cal,-0.025906329,0.037642925,0.0649365,0.118322646,0.198081596,0.080121077,-0.231799845,-0.020790882,1,0.113364418,-0.108265943,-0.048414318,0.249429835,0.052428775,-0.122007808,-0.18369485,0.353859984,0.024637058,-0.092324404,-0.153625163,0.1556154,-0.256863989,-0.087457557,0.183450488,0.069221103,-0.029258254
glycerol,-0.034097762,-0.039937477,-0.022601846,-0.030083236,-0.024234225,-0.072030646,-0.052738649,-0.026345946,0.113364418,1,-0.038932289,-0.035406293,-0.07894401,-0.087374831,-0.01912149,-0.044335375,0.247655221,-0.08535094,-0.185099633,0.08650508,-0.089819572,0.04699113,-0.006807207,0.042792213,-0.059744652,-0.091407146
